,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
78,78.0,Slovenia,274527,+998,4466.0,+4,261238.0,+539,8823.0,40.0,132030.0,2148.0,1483923.0,713672.0,2079279.0
79,79.0,Moldova,273918,+862,6492.0,+14,261748.0,+598,5678.0,84.0,68092.0,1614.0,1626253.0,404261.0,4022779.0
80,80.0,Bahrain,273542,+88,1388.0,+0,271215.0,+88,939.0,2.0,154397.0,783.0,6114627.0,3451320.0,1771678.0
81,81.0,S. Korea,269362,"+1,892",2348.0,+5,240733.0,"+1,813",26281.0,353.0,5248.0,46.0,13615058.0,265288.0,51321796.0
82,82.0,Mongolia,249408,"+2,009",1007.0,+15,222274.0,"+4,168",26127.0,192.0,74649.0,301.0,3647780.0,1091794.0,3341088.0
83,83.0,Armenia,247666,+669,4979.0,+11,231406.0,+586,11281.0,+0,83394.0,1677.0,1600933.0,539063.0,2969846.0
84,84.0,Kenya,242945,+661,4896.0,+32,230940.0,+533,7109.0,163.0,4403.0,89.0,2444357.0,44299.0,55178617.0
85,85.0,Qatar,234362,+126,604.0,+0,231725.0,+187,2033.0,20.0,83468.0,215.0,2558174.0,911094.0,2807805.0
86,86.0,Bosnia and Herzegovina,220636,+832,9995.0,+19,192218.0,+0,18423.0,+0,67753.0,3069.0,1168373.0,358786.0,3256466.0
87,87.0,Zambia,207696,+136,3626.0,+3,202986.0,+186,1084.0,79.0,10934.0,191.0,2339439.0,123161.0,18994991.0
88,88.0,Algeria,199560,+285,5539.0,+20,136264.0,+235,57757.0,34.0,4455.0,124.0,230861.0,5154.0,44792604.0
89,89.0,Nigeria,198239,+466,2588.0,+3,185780.0,+183,9871.0,11.0,934.0,12.0,2884034.0,13591.0,212206996.0
90,90.0,North Macedonia,182450,+575,6214.0,+30,163070.0,"+1,010",13166.0,+0,87579.0,2983.0,1211959.0,581757.0,2083272.0
91,91.0,Kyrgyzstan,176983,+100,2566.0,+3,171180.0,+132,3237.0,131.0,26605.0,386.0,1680004.0,252548.0,6652224.0
92,92.0,Norway,174649,"+1,301",827.0,+0,88952.0,+0,84870.0,17.0,31918.0,151.0,7519960.0,1374328.0,5471737.0
93,93.0,Botswana,163665,+0,2325.0,+0,158338.0,+0,3002.0,1.0,67965.0,966.0,1671764.0,694236.0,2408064.0
94,94.0,Uzbekistan,163108,+687,1142.0,+5,155114.0,+740,6852.0,23.0,4791.0,34.0,1377915.0,40472.0,34046360.0
95,95.0,Albania,155293,+977,2535.0,+4,140176.0,+919,12582.0,3.0,54033.0,882.0,1108277.0,385615.0,2874049.0
96,96.0,Afghanistan,153981,+19,7167.0,+3,115429.0,+490,31385.0,1124.0,3852.0,179.0,754480.0,18876.0,39969935.0
97,97.0,Mozambique,148901,+174,1892.0,+1,140961.0,+320,6048.0,32.0,4611.0,59.0,873870.0,27059.0,32294683.0
98,98.0,Latvia,146381,+489,2602.0,+4,139115.0,+0,4664.0,30.0,78645.0,1398.0,3874043.0,2081365.0,1861299.0
99,99.0,Estonia,145885,+540,1309.0,+2,136741.0,+310,7835.0,14.0,109886.0,986.0,1802563.0,1357762.0,1327599.0
100,100.0,Finland,132662,+490,1039.0,+0,46000.0,+0,85623.0,22.0,23899.0,187.0,6818795.0,1228394.0,5550982.0
101,101.0,Zimbabwe,126056,+0,4521.0,+0,118059.0,+0,3476.0,12.0,8337.0,299.0,1309497.0,86605.0,15120364.0
102,102.0,Namibia,126025,+59,3426.0,+4,121144.0,+71,1455.0,20.0,48553.0,1320.0,674205.0,259747.0,2595621.0
103,103.0,Ghana,122779,+236,1087.0,+3,116337.0,+657,5355.0,51.0,3856.0,34.0,1668839.0,52407.0,31843783.0
104,104.0,Uganda,121166,+176,3085.0,+11,95710.0,+13,22371.0,417.0,2553.0,65.0,1613803.0,34008.0,47454212.0
105,105.0,Montenegro,120723,+574,1792.0,+7,111452.0,+673,7479.0,11.0,192185.0,2853.0,657646.0,1046939.0,628161.0
106,106.0,Cyprus,115973,+142,527.0,+1,90755.0,+0,24691.0,37.0,95229.0,433.0,9366973.0,7691528.0,1217830.0
107,107.0,Cambodia,98184,+660,2019.0,+12,92912.0,+417,3253.0,+0,5777.0,119.0,2289480.0,134720.0,16994312.0
108,108.0,El Salvador,98122,+0,3005.0,+10,82485.0,+0,12632.0,111.0,15037.0,461.0,1238524.0,189806.0,6525207.0
109,109.0,China,95128,+17,4636.0,+0,89736.0,+47,756.0,8.0,66.0,3.0,160000000.0,111163.0,1439323776.0
110,110.0,Rwanda,92025,+470,1158.0,+5,45387.0,+6,45480.0,18.0,6902.0,87.0,2570188.0,192762.0,13333503.0
111,111.0,Cameroon,84210,+0,1357.0,+0,80433.0,+0,2420.0,152.0,3081.0,50.0,1751774.0,64096.0,27330563.0
