,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
158,158.0,Burundi,14047,+0,38.0,+0,773.0,+0,13236.0,+0,1141.0,3.0,345742.0,28084.0,12310936.0
159,159.0,Burkina Faso,13906,+34,171.0,+0,13597.0,+6,138.0,+0,644.0,8.0,213552.0,9894.0,21583610.0
160,160.0,Congo,13701,+0,183.0,+0,12421.0,+0,1097.0,+0,2412.0,32.0,188207.0,33139.0,5679387.0
161,161.0,Mauritius,13114,+331,42.0,+5,1854.0,+0,11218.0,+0,10291.0,33.0,358675.0,281472.0,1274284.0
162,162.0,Nicaragua,12350,+0,201.0,+0,4225.0,+0,7924.0,+0,1838.0,30.0,+0,+0,6718377.0
163,163.0,Hong Kong,12139,+5,212.0,+0,11838.0,+4,89.0,+0,1604.0,28.0,24014928.0,3172620.0,7569431.0
164,164.0,Djibouti,11839,+15,157.0,+0,11617.0,+7,65.0,+0,11779.0,156.0,210823.0,209754.0,1005095.0
165,165.0,South Sudan,11606,+17,120.0,+0,11195.0,+0,291.0,+0,1023.0,11.0,219648.0,19352.0,11349955.0
166,166.0,CAR,11309,+0,100.0,+0,6859.0,+0,4350.0,2.0,2294.0,20.0,60228.0,12218.0,4929631.0
167,167.0,Iceland,11199,+26,33.0,+0,10662.0,+46,504.0,7.0,32566.0,96.0,1007355.0,2929362.0,343882.0
168,168.0,Channel Islands,11029,+43,95.0,+0,10487.0,+39,447.0,+0,62746.0,540.0,848803.0,4829000.0,175772.0
169,169.0,Equatorial Guinea,10284,+0,129.0,+0,9120.0,+0,1035.0,1.0,7055.0,88.0,195087.0,133838.0,1457637.0
170,170.0,Gambia,9820,+0,328.0,+0,9457.0,+0,35.0,3.0,3932.0,131.0,101817.0,40772.0,2497243.0
171,171.0,Saint Lucia,9403,+0,128.0,+0,6980.0,+0,2295.0,3.0,50930.0,693.0,73248.0,396735.0,184627.0
172,172.0,Yemen,8306,+39,1561.0,+12,5162.0,+43,1583.0,23.0,271.0,51.0,265253.0,8667.0,30606474.0
173,173.0,Isle of Man,6980,+28,38.0,+0,6678.0,+40,264.0,1.0,81572.0,444.0,83753.0,978777.0,85569.0
174,174.0,Eritrea,6655,+1,40.0,+0,6611.0,+3,4.0,+0,1846.0,11.0,23693.0,6573.0,3604830.0
175,175.0,Sierra Leone,6379,+1,121.0,+0,4370.0,+0,1888.0,+0,781.0,15.0,160729.0,19674.0,8169791.0
176,176.0,Guinea-Bissau,5968,+10,125.0,+1,5089.0,+30,754.0,4.0,2950.0,62.0,94361.0,46638.0,2023250.0
177,177.0,Niger,5912,+4,199.0,+0,5648.0,+5,65.0,+0,234.0,8.0,148096.0,5866.0,25244924.0
178,178.0,Barbados,5759,+108,51.0,+0,5018.0,+54,690.0,+0,20011.0,177.0,279853.0,972404.0,287795.0
179,179.0,Liberia,5459,+0,148.0,+0,2715.0,+0,2596.0,2.0,1050.0,28.0,128246.0,24668.0,5198885.0
180,180.0,Gibraltar,5414,+5,97.0,+0,5241.0,+4,76.0,+0,160753.0,2880.0,345252.0,10251254.0,33679.0
181,181.0,San Marino,5351,+0,90.0,+0,5195.0,+0,66.0,1.0,157308.0,2646.0,76261.0,2241916.0,34016.0
182,182.0,Chad,5012,+1,174.0,+0,4816.0,+0,22.0,+0,295.0,10.0,141392.0,8324.0,16985176.0
183,183.0,Comoros,4093,+0,147.0,+0,3923.0,+0,23.0,+0,4591.0,165.0,+0,+0,891614.0
184,184.0,Sint Maarten,3947,+0,57.0,+0,3648.0,+0,242.0,14.0,90830.0,1312.0,41509.0,955218.0,43455.0
185,185.0,Brunei,3894,+63,18.0,+1,2418.0,+105,1458.0,32.0,8801.0,41.0,269041.0,608046.0,442468.0
186,186.0,New Zealand,3866,+19,27.0,+0,3222.0,+27,617.0,5.0,773.0,5.0,3114087.0,622556.0,5002100.0
187,187.0,Saint Martin,3582,+0,45.0,+0,1399.0,+0,2138.0,7.0,90798.0,1141.0,54303.0,1376502.0,39450.0
188,188.0,Bermuda,3465,+192,35.0,+0,2817.0,+51,613.0,1.0,55884.0,564.0,490487.0,7910698.0,62003.0
189,189.0,Liechtenstein,3370,+5,60.0,+1,3242.0,+14,68.0,1.0,88086.0,1568.0,49126.0,1284071.0,38258.0
190,190.0,Monaco,3273,+8,33.0,+0,3165.0,+15,75.0,6.0,82708.0,834.0,54960.0,1388826.0,39573.0
191,191.0,Sao Tome and Principe,2787,+49,39.0,+0,2495.0,+7,253.0,+0,12442.0,174.0,14689.0,65576.0,223998.0
192,192.0,Turks and Caicos,2736,+0,20.0,+0,2620.0,+0,96.0,1.0,69548.0,508.0,94789.0,2409481.0,39340.0
193,193.0,British Virgin Islands,2642,+0,37.0,+0,2555.0,+0,50.0,7.0,86705.0,1214.0,79575.0,2611499.0,30471.0
194,194.0,Bhutan,2596,+0,3.0,+0,2585.0,+0,8.0,+0,3321.0,4.0,1112280.0,1422855.0,781724.0
195,195.0,St. Vincent Grenadines,2421,+30,12.0,+0,2321.0,+7,88.0,2.0,21740.0,108.0,69275.0,622082.0,111360.0
196,196.0,Dominica,2280,+0,6.0,+0,1857.0,+0,417.0,+0,31579.0,83.0,57762.0,800039.0,72199.0
197,197.0,Grenada,2163,+216,22.0,+3,381.0,+29,1760.0,+0,19117.0,194.0,63367.0,560056.0,113144.0
198,198.0,Antigua and Barbuda,2059,+0,47.0,+0,1433.0,+0,579.0,9.0,20820.0,475.0,17409.0,176035.0,98895.0
199,199.0,Caribbean Netherlands,1908,+13,17.0,+0,1781.0,+27,110.0,+0,71965.0,641.0,20707.0,781013.0,26513.0
200,200.0,St. Barth,1542,+0,2.0,+0,462.0,+0,1078.0,+0,155553.0,202.0,38369.0,3870574.0,9913.0
201,201.0,Saint Kitts and Nevis,1390,+38,6.0,+1,771.0,+32,613.0,1.0,25910.0,112.0,34088.0,635413.0,53647.0
202,202.0,Tanzania,1367,+0,50.0,+0,183.0,+0,1134.0,7.0,22.0,0.8,+0,+0,61753301.0
203,203.0,Faeroe Islands,1032,+5,2.0,+0,1000.0,+2,30.0,+0,21025.0,41.0,416000.0,8475267.0,49084.0
204,204.0,Cayman Islands,726,+3,2.0,+0,687.0,+5,37.0,+0,10894.0,30.0,130676.0,1960895.0,66641.0
205,205.0,Diamond Princess,712,+0,13.0,+0,699.0,+0,0.0,+0,+0,+0,+0,+0,+0
206,206.0,Wallis and Futuna,445,+0,7.0,+0,438.0,+0,0.0,+0,40440.0,636.0,20508.0,1863686.0,11004.0
207,207.0,Greenland,382,+4,+0,+0,309.0,+0,73.0,2.0,6715.0,+0,57192.0,1005362.0,56887.0
208,208.0,Anguilla,312,+7,+0,+0,285.0,+16,27.0,+0,20578.0,+0,38936.0,2567999.0,15162.0
209,209.0,New Caledonia,253,+51,1.0,+1,58.0,+0,194.0,6.0,876.0,3.0,42756.0,148065.0,288766.0
210,210.0,Falkland Islands,67,+0,+0,+0,63.0,+0,4.0,+0,18611.0,+0,7531.0,2091944.0,3600.0
211,211.0,Macao,63,+0,+0,+0,62.0,+1,1.0,+0,95.0,+0,4809.0,7288.0,659869.0
212,212.0,Montserrat,31,+0,1.0,+0,24.0,+0,6.0,+0,6205.0,200.0,1408.0,281825.0,4996.0
213,213.0,Saint Pierre Miquelon,31,+0,+0,+0,30.0,+0,1.0,+0,5382.0,+0,8671.0,1505382.0,5760.0
214,214.0,Vatican City,27,+0,+0,+0,27.0,+0,0.0,+0,33624.0,+0,+0,+0,803.0
215,215.0,Solomon Islands,20,+0,+0,+0,20.0,+0,0.0,+0,28.0,+0,4500.0,6366.0,706888.0
216,216.0,Western Sahara,10,+0,1.0,+0,8.0,+0,1.0,+0,16.0,2.0,+0,+0,614780.0
217,217.0,MS Zaandam,9,+0,2.0,+0,7.0,+0,0.0,+0,+0,+0,+0,+0,+0
218,218.0,Vanuatu,4,+0,1.0,+0,3.0,+0,0.0,+0,13.0,3.0,23000.0,72861.0,315671.0
219,219.0,Marshall Islands,4,+0,+0,+0,4.0,+0,0.0,+0,67.0,+0,+0,+0,59666.0
220,220.0,Samoa,3,+0,+0,+0,3.0,+0,0.0,+0,15.0,+0,+0,+0,199985.0
221,221.0,Palau,2,+0,+0,+0,2.0,+0,0.0,+0,110.0,+0,9304.0,511293.0,18197.0
222,222.0,Saint Helena,2,+0,+0,+0,2.0,+0,0.0,+0,328.0,+0,+0,+0,6099.0
223,223.0,Micronesia,1,+0,+0,+0,1.0,+0,0.0,+0,9.0,+0,+0,+0,116459.0
224,+0,Total:,224607667,"+589,207",4629724.0,"+8,931",201148565.0,"+546,418",18829378.0,103614.0,28815.1,594.0,+0,+0,+0
